segment,start,end,medad_p50,medad_p90,medad_p99,si_p50,si_p90,si_p99,motion_occupancy,motion_magnitude,scene_activity,texture,rtci,burst_score,tail_score,extreme_score,spatial_score,temporal_score,motion_score,event_score,segment_variability,v8_fusion,bdi,regime,class
262,1310.0,1315.0,2.0,4.0,4.0,122.67120361328125,125.93160247802734,127.87059326171875,0.27598510416666666,10.282078229166665,0.04032187540849673,2380.6564403877833,0.3375,0.25,0.125,1.0,0.6355851292276758,0.29812500000000003,0.40822108437269966,0.11520535830999067,0.25,0.40296893204209194,0.4127196681879792,SPATIAL-HEAVY,Moderate
263,1315.0,1320.0,6.0,11.600000000000009,15.0,136.44268798828125,157.8433868408203,158.74312744140624,0.45789986111111114,19.574928125000003,0.07676442401960784,3479.2714506857715,0.3651436781609193,0.24166666666666684,0.16163793103448265,0.65,0.5736592525987827,0.3095790229885057,0.45055368876940083,0.21932692577030813,0.3448275862068963,0.39739264609771674,0.4174407548484596,BURST-DOMINATED,Moderate
264,1320.0,1325.0,7.0,10.0,11.760000000000005,134.54391479492188,138.0772918701172,139.26752136230468,0.45920020833333336,21.577375902777778,0.08461716040305012,2090.437219620549,0.4251142857142857,0.17857142857142858,0.14700000000000008,0.1275510204081632,0.6356283998929101,0.31417,0.46857082380330445,0.24176331543728607,0.3,0.3846801421800738,0.43249061787101345,SPATIAL-HEAVY,Moderate
265,1325.0,1330.0,3.0,8.0,12.0,133.48577880859375,139.3437530517578,141.0835986328125,0.33150510416666656,15.008509965277778,0.05885690182461874,2332.612916127344,0.3104166666666667,0.3333333333333333,0.1875,0.625,0.6263816670715012,0.3207291666666667,0.3771159753198067,0.16816257664176784,0.25,0.39341067744294045,0.4108368413467699,SPATIAL-HEAVY,Moderate
266,1330.0,1335.0,3.0,4.0,5.0,151.19139099121094,164.44590454101564,165.44048767089845,0.3308742708333333,16.70261444444444,0.06550044880174292,2547.1080771648385,0.47708333333333336,0.16666666666666666,0.15625,0.15,0.6044923655155741,0.3373958333333334,0.3965320107313215,0.18714413943355124,0.5,0.3788666066860518,0.4182125106576855,SPATIAL-HEAVY,Moderate
267,1335.0,1340.0,4.0,7.0,12.0,140.15548706054688,159.89427185058594,163.83486633300782,0.39144489583333336,19.619420694444447,0.07693890468409585,2559.1477987703192,0.38660714285714287,0.21875,0.21428571428571427,0.78125,0.5807937964845628,0.3110714285714286,0.38813166479131267,0.21982544195455958,0.2857142857142857,0.3903664358085925,0.404637514481017,SPARSE-EXTREME,Moderate
268,1340.0,1345.0,4.0,6.0,7.0,149.29078674316406,154.70407409667968,156.01178405761718,0.3786037847222222,18.83476447916667,0.0738618214869281,2901.0752954885756,0.4166666666666667,0.1875,0.14583333333333334,0.125,0.6302968751584088,0.3135416666666667,0.4232982948750257,0.21103377567693746,0.3333333333333333,0.37961158599636013,0.43050141834749855,SPATIAL-HEAVY,Moderate
269,1345.0,1350.0,4.0,7.0,11.760000000000005,140.2193603515625,145.0819549560547,146.54060119628906,0.3733982986111111,17.698578958333332,0.06940619199346407,2468.9383703900107,0.38575000000000004,0.21875,0.2100000000000001,0.6271258503401358,0.631162499093349,0.31060000000000004,0.43167256111884983,0.19830340569561164,0.2857142857142857,0.4096693566532657,0.4437236919331572,SPATIAL-HEAVY,Moderate
270,1350.0,1355.0,8.0,14.0,18.760000000000005,140.69544982910156,143.06268615722655,144.03493530273437,0.4704296875,23.497929513888884,0.09214874319172113,2794.2901633330366,0.40939285714285717,0.21875,0.16750000000000004,0.13326226012793174,0.6407251054855492,0.32360357142857143,0.4824801069392498,0.2632821234049175,0.5,0.40381687061765276,0.4386121281704982,SPATIAL-HEAVY,Moderate
271,1355.0,1360.0,15.0,22.0,25.0,141.71774291992188,145.45564880371094,148.14563232421875,0.5790774305555556,31.803534479166665,0.12471974305555555,2220.4788799395424,0.41280303030303034,0.18333333333333332,0.14204545454545456,0.325,0.6357522491387634,0.3095416666666667,0.5520702726681123,0.35634212301587304,0.2727272727272727,0.3997597425354538,0.4199590288252912,SPATIAL-HEAVY,Moderate
