segment,start,end,medad_p50,medad_p90,medad_p99,si_p50,si_p90,si_p99,motion_occupancy,motion_magnitude,scene_activity,texture,rtci,burst_score,tail_score,extreme_score,spatial_score,temporal_score,motion_score,event_score,segment_variability,v8_fusion,bdi,regime,class
12,60.0,65.0,3.0,5.0,5.0,125.06837463378906,125.88741760253906,126.35192443847656,0.3718976041666667,15.493027499999998,0.06075697058823529,2486.4113397436145,0.3666666666666667,0.20833333333333334,0.125,0.125,0.6463701410526598,0.29541666666666666,0.39903523718405776,0.1735913445378151,0.2,0.3659792365730829,0.42419396349997274,SPATIAL-HEAVY,Moderate
13,65.0,70.0,1.0,6.0,47.24000000000025,72.48616027832031,124.56071014404297,125.12898529052734,0.1907689236111111,8.150824618055555,0.03196401811002179,1198.8344493435673,0.5218333333333344,0.75,0.9841666666666719,0.37044877222692435,0.42169638526439207,0.6245083333333339,0.3248687330789357,0.09132576602863368,0.6666666666666666,0.5010741283434254,0.4834193544788577,MOTION-HEAVY,High
14,70.0,75.0,3.0,8.0,9.0,55.579612731933594,120.30400238037109,121.57250518798828,0.3010753472222222,10.768411423611111,0.04222906440631808,589.856434833185,0.37604166666666666,0.3333333333333333,0.140625,1.0,0.3637852419460873,0.35682291666666666,0.38062161861756616,0.12065446973233739,0.75,0.3884341843825877,0.36643918069543224,BURST-DOMINATED,Moderate
15,75.0,80.0,1.0,3.0,5.0,54.32699203491211,59.28743362426758,60.294276580810546,0.19784277777777778,6.363215833333332,0.02495378758169934,182.75912451208842,0.31666666666666665,0.375,0.20833333333333334,0.125,0.6029711641524601,0.34291666666666665,0.31553926659512255,0.0712965359477124,0.3333333333333333,0.36284860894149223,0.3955792404294054,SPATIAL-HEAVY,Moderate
16,80.0,85.0,2.0,4.0,5.760000000000005,50.167747497558594,54.168113708496094,56.07441177368164,0.2314904166666667,7.731357812500001,0.030319050245098043,154.70962175050528,0.38600000000000007,0.25,0.18000000000000016,1.0,0.6088411585079416,0.32480000000000003,0.3544199280247134,0.08662585784313727,0.5,0.4046431038935199,0.4007188638583524,SPATIAL-HEAVY,Moderate
17,85.0,90.0,1.0,1.0,1.0,53.761966705322266,58.51941146850586,59.027133026123046,0.1093090625,3.633201354166667,0.01424784844771242,389.50947827297364,0.5,0.125,0.125,1.0,0.6041498981721589,0.33125000000000004,0.5101199843750001,0.04070813842203549,0.0,0.40270693854714645,0.42516158929366765,SPATIAL-HEAVY,Moderate
18,90.0,95.0,1.0,1.0,1.0,59.571815490722656,67.46884002685547,67.67936065673828,0.08259156250000001,3.068277465277778,0.012032460648148148,528.2752938671997,0.5,0.125,0.125,1.0,0.5839729087951067,0.33125000000000004,0.49542535937500004,0.034378458994708996,0.0,0.40615249156209227,0.44113027417227374,LOW-COMPLEXITY,Moderate
19,95.0,100.0,0.0,0.0,0.0,65.14698791503906,67.65748291015625,67.86759674072266,0.03724888888888888,1.28192875,0.00502717156862745,407.8784056606943,0.0,0.0,0.0,0.0,0.6289989062455108,0.0,0.25673885385059325,0.014363347338935573,0.0,0.20914485709621103,0.27212476432711075,SPATIAL-HEAVY,Low
20,100.0,105.0,3.0,3.0,46.520000000000266,71.46085357666016,73.2794189453125,122.38509002685547,0.2440855902777778,8.025199027777777,0.03147136873638343,679.5990881532429,0.675,0.125,1.0,0.18271711092003334,0.6484698093320999,0.4275000000000001,0.5842470746527778,0.08991819638966696,0.0,0.5042584682235794,0.6028241088378241,SPATIAL-HEAVY,High
21,105.0,110.0,4.0,6.0,7.760000000000005,121.02657318115234,122.967578125,123.79288787841797,0.29204767361111106,10.21575565972222,0.040061786900871456,1681.3079630019404,0.44483333333333336,0.1875,0.16166666666666676,0.7893041237113397,0.6411562118832889,0.3290333333333334,0.39274068689483577,0.11446224828820417,0.5,0.4156756741661127,0.4380181987813725,SPATIAL-HEAVY,Moderate
22,110.0,115.0,3.0,5.0,7.52000000000001,105.4765396118164,110.35061645507812,116.33465698242188,0.2719744791666666,10.14660673611111,0.03979061465141612,958.2140827079022,0.37926666666666675,0.20833333333333334,0.18800000000000025,1.0,0.6259594277788483,0.30234666666666676,0.4004227155262634,0.11368747043261748,0.2,0.40052658184447315,0.41526086593644934,SPATIAL-HEAVY,Moderate
23,115.0,120.0,1.0,2.0,5.52000000000001,117.98094940185547,122.82492218017578,124.08579772949219,0.2105062152777778,9.26871618055556,0.03634790659041394,1110.5136367905666,0.34400000000000014,0.25,0.34500000000000064,1.0,0.6278127024453218,0.3017000000000001,0.38872626342682526,0.10385116168689698,0.0,0.3997378499522313,0.41492818933271697,SPATIAL-HEAVY,Moderate
24,120.0,125.0,1.0,1.6000000000000085,2.0,105.03071594238281,107.64420318603516,108.13609619140625,0.11600621527777778,4.2368090277777775,0.01661493736383442,989.519750169477,0.35249999999999854,0.20000000000000107,0.15624999999999917,1.0,0.6362959119507112,0.2838749999999997,0.2791716432243989,0.04747124961095549,0.0,0.36392882947598804,0.39266838247306196,SPATIAL-HEAVY,Moderate
25,125.0,130.0,1.0,3.0,78.00000000000026,107.59654235839844,134.40626525878906,134.69881103515624,0.15352951388888889,6.11611996527778,0.02398478417755991,1282.4754436911114,0.525,0.375,1.0,0.20352564102564036,0.5381466582537339,0.4575000000000001,0.3985851129060506,0.06852795479302831,0.6666666666666666,0.46961451354551,0.4841625950697475,SPARSE-EXTREME,Moderate
26,130.0,135.0,1.0,3.0,5.0,108.82882690429688,112.620703125,113.15824829101562,0.15524243055555553,5.755563020833332,0.022570835375816986,886.2711724474266,0.31666666666666665,0.375,0.20833333333333334,1.0,0.6309766600702652,0.34291666666666665,0.2915029801935948,0.06448810107376282,0.3333333333333333,0.4154069972691005,0.428322613168404,SPATIAL-HEAVY,Moderate
27,135.0,140.0,0.0,1.0,1.0,67.00138854980469,95.1166275024414,96.32262817382812,0.08429253472222223,3.584143368055556,0.014055464188453158,599.9350720586051,0.05,0.125,0.125,1.0,0.48599871143865864,0.08375,0.47687228715564706,0.04015846910986617,0.0,0.3018554444881763,0.30152517447027666,LOW-COMPLEXITY,Moderate
28,140.0,145.0,1.0,1.0,1.0,94.03899383544922,126.53814239501953,127.0288671875,0.12112329861111111,4.11161,0.016123960784313728,1625.3746965381224,0.5,0.125,0.125,1.0,0.5067727772431865,0.33125000000000004,0.3694095766127425,0.046068459383753514,0.0,0.3566158629238137,0.379074110295328,LOW-COMPLEXITY,Moderate
29,145.0,150.0,1.0,1.0,35.400000000000205,95.62332153320312,97.33920288085938,126.20188446044922,0.16815215277777776,6.691967743055556,0.02624301075708061,1174.219307181667,0.675,0.125,1.0,0.2612994350282471,0.6455437271487217,0.4275000000000001,0.46925931825861955,0.07498003073451603,0.0,0.4690069116317199,0.5445065457017505,SPATIAL-HEAVY,Moderate
30,150.0,155.0,3.0,7.0,9.760000000000005,60.12867736816406,63.16706924438476,63.62005691528321,0.3043033333333333,10.154617638888888,0.039822029956427016,238.42648031654838,0.35033333333333333,0.2916666666666667,0.17428571428571438,0.14088114754098352,0.6228530399020585,0.32393333333333335,0.37270182784709094,0.11377722844693434,0.42857142857142855,0.3739025473642091,0.40988926402097586,SPATIAL-HEAVY,Moderate
31,155.0,160.0,2.0,5.0,7.0,57.13132095336914,79.71416473388672,80.3085366821289,0.24059750000000002,7.870596527777777,0.03086508442265795,477.0313007503735,0.36750000000000005,0.3125,0.175,0.8214285714285714,0.49251363987603686,0.34275000000000005,0.3428728702298025,0.08818595549330843,0.6,0.37576200582400543,0.35744310865736223,BURST-DOMINATED,Moderate
32,160.0,165.0,3.0,4.6000000000000085,33.880000000000194,87.94819641113281,88.6959228515625,131.65476623535184,0.19137961805555553,6.1670275,0.024184421568627452,2159.3289649155813,0.5811594202898551,0.191666666666667,0.9206521739130471,0.21399055489964458,0.654288895671478,0.4058876811594205,0.38757625102407395,0.06909834733893558,0.4347826086956514,0.4587897051685535,0.5087829253767189,SPATIAL-HEAVY,Moderate
